"Step","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (Proposed) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio both under ood score 0.5 and over conf 0.95__MAX"
"48","0.41333394646644595","0.40105926990509033","0.4209470748901367","0.4023987889289856","0.3893294930458069","0.4213973879814148","0.6389978051185607","0.6224613785743713","0.6703862547874451","0.4975296974182129","0.4787158966064453","0.5121827125549316","0.5736225247383118","0.5627242922782898","0.58968186378479"
"49","0.40711830258369447","0.39642444252967834","0.4115487337112427","0.4165054440498352","0.39481961727142334","0.4390402138233185","0.6479306936264038","0.6350599527359009","0.667390763759613","0.49145953059196473","0.4796035885810852","0.5055742263793945","0.5747800827026367","0.5663965940475464","0.5844929218292236"
"50","0.41009854078292846","0.39677491784095764","0.41721928119659424","0.41770969033241273","0.3887426555156708","0.4555891156196594","0.6623205840587616","0.6402506232261658","0.6823195219039917","0.495309317111969","0.4831288456916809","0.5012531280517578","0.5766058683395385","0.5703024864196777","0.5875415205955505"
"51","0.410838258266449","0.4004969596862793","0.4221457242965698","0.40551198124885557","0.3730727434158325","0.43998679518699646","0.6499058802922567","0.6363440155982971","0.6751658916473389","0.5001967489719391","0.4925493001937866","0.5119165778160095","0.583859658241272","0.5735708475112915","0.5917258262634277"
"52","0.41261152029037473","0.40338489413261414","0.4214150905609131","0.3933818697929382","0.3730650246143341","0.4198552370071411","0.6555664986371994","0.637367844581604","0.6912022233009338","0.493151867389679","0.47609490156173706","0.5117281675338745","0.5848503947257996","0.5710902214050293","0.59390789270401"
"53","0.40855000019073484","0.3954783082008362","0.4198387861251831","0.40718334913253784","0.3740619719028473","0.43593087792396545","0.6469143182039261","0.6252421140670776","0.676788330078125","0.49718414545059203","0.49295774102211","0.5039583444595337","0.5763928532600403","0.5706475973129272","0.5880599021911621"
"54","0.40900126099586487","0.3993617594242096","0.42052942514419556","0.39332006573677064","0.3600834608078003","0.43046143651008606","0.6380708962678909","0.6018938422203064","0.6799880862236023","0.49682384729385376","0.4759657084941864","0.5126543641090393","0.5818358182907104","0.5711945295333862","0.5891305804252625"
"55","0.4100611865520477","0.3967045545578003","0.41774916648864746","0.4049071311950684","0.3783637285232544","0.4275068938732147","0.652641499042511","0.6416013240814209","0.6711687445640564","0.5011678814888001","0.4842105209827423","0.5126124620437622","0.5816740393638611","0.571410059928894","0.5919956564903259"
"56","0.4158440351486206","0.3973517417907715","0.4247623085975647","0.39456868171691895","0.3614344596862793","0.43081071972846985","0.6540459990501404","0.6282980442047119","0.6818096041679382","0.50361407995224","0.48683419823646545","0.5225045084953308","0.5832883834838867","0.5708600878715515","0.5964081883430481"
"57","0.4112522542476654","0.3980385661125183","0.4207087457180023","0.41103187799453733","0.395279198884964","0.43812763690948486","0.6420915325482687","0.621100902557373","0.6544057726860046","0.5070514559745789","0.49636179208755493","0.5143684148788452","0.586887001991272","0.5806621313095093","0.5943285226821899"
"58","0.41178300976753235","0.40002259612083435","0.4209243059158325","0.39895660281181333","0.37866419553756714","0.43391478061676025","0.6542261838912964","0.6405386924743652","0.663739025592804","0.5013063549995422","0.4893162250518799","0.5213735103607178","0.5858621239662171","0.5802167654037476","0.5954410433769226"
"59","0.4114547669887543","0.39647376537323","0.4207964539527893","0.39762418270111083","0.348186731338501","0.4478873312473297","0.6566243410110474","0.6345615983009338","0.6660612225532532","0.4987134575843811","0.4946926236152649","0.504593014717102","0.583263885974884","0.5773189663887024","0.5940720438957214"
"60","0.41160483956336974","0.4026912748813629","0.42155343294143677","0.39491857290267945","0.38021302223205566","0.435152143239975","0.6534937143325805","0.6300819516181946","0.68049156665802","0.49860926866531374","0.47203177213668823","0.5105659365653992","0.5843831896781921","0.5759322643280029","0.5958327651023865"
"61","0.4135631799697876","0.39797866344451904","0.4251197278499603","0.4068447172641754","0.38638779520988464","0.4666585922241211","0.6344453692436218","0.6223602294921875","0.6478376984596252","0.5073009967803955","0.4895702600479126","0.5165886282920837","0.5853942275047302","0.5804782509803772","0.595768392086029"
"62","0.4152485907077789","0.4053063988685608","0.42372140288352966","0.4067675948143005","0.3845289349555969","0.43545904755592346","0.6414247949918112","0.6295920014381409","0.6539220213890076","0.5006320118904114","0.4832135736942291","0.5149080157279968","0.5820917367935181","0.5773009061813354","0.587554931640625"
"63","0.41293203830718994","0.3994397819042206","0.42042702436447144","0.3957428753376007","0.36383312940597534","0.4562890827655792","0.6333862692117691","0.6223152875900269","0.6435643434524536","0.5073965430259705","0.494625985622406","0.5220648646354675","0.5828242778778077","0.5799717307090759","0.5863394141197205"
"64","0.41240509152412413","0.40015697479248047","0.4213131070137024","0.39365488290786743","0.3497121036052704","0.4318467378616333","0.6465891242027283","0.6361494660377502","0.6649302840232849","0.5093737185001374","0.4979715049266815","0.5256077647209167","0.5868761420249939","0.5765798091888428","0.5969932079315186"
"65","0.41237393021583557","0.39669233560562134","0.4245385527610779","0.398012375831604","0.37017449736595154","0.45464348793029785","0.6434406638145447","0.6270282864570618","0.6671181321144104","0.5097743988037109","0.5038270354270935","0.5174946784973145","0.5861929297447205","0.5816308259963989","0.5962724685668945"
"66","0.41659294366836547","0.40122631192207336","0.4286022186279297","0.396152925491333","0.38689741492271423","0.42202627658843994","0.6450529098510742","0.6316719055175781","0.6620591878890991","0.5113546133041382","0.5037578344345093","0.5223150253295898","0.584870719909668","0.5807778239250183","0.5892513394355774"
"67","0.41458708643913267","0.4039120376110077","0.4276936650276184","0.3989892899990082","0.37626340985298157","0.4540732502937317","0.6617858012517294","0.6596319675445557","0.663362443447113","0.5155869603157044","0.5067209601402283","0.5243299603462219","0.5855774998664856","0.577913761138916","0.5956683158874512"
"68","0.416864800453186","0.40582287311553955","0.4268173277378082","0.3966691315174103","0.3782269060611725","0.4287341237068176","0.6487367302179337","0.6099945902824402","0.685704231262207","0.5111425578594208","0.49414291977882385","0.5211793184280396","0.586167573928833","0.5801995396614075","0.592566192150116"
"69","0.4142427146434784","0.40313613414764404","0.4257071614265442","0.3993397831916809","0.37383967638015747","0.4576888084411621","0.6308360457420349","0.614715039730072","0.6459195613861084","0.509861171245575","0.500481128692627","0.5187916159629822","0.5874607682228088","0.5830992460250854","0.5966240763664246"
"70","0.41426968574523926","0.3991382122039795","0.4235011339187622","0.3979861855506897","0.3843422532081604","0.4178364872932434","0.6485678950945536","0.6360245943069458","0.6608469486236572","0.5142469525337219","0.5082085728645325","0.5195520520210266","0.5883947372436523","0.5810970067977905","0.592438817024231"
"71","0.4153319478034973","0.3991016149520874","0.4266478419303894","0.38672207593917846","0.3459019660949707","0.43712493777275085","0.6473960876464844","0.6381422281265259","0.6692735552787781","0.5082331836223603","0.498229056596756","0.5245901346206665","0.5890858173370361","0.5820372104644775","0.5944368839263916"
"72","0.4161191701889038","0.40839651226997375","0.4244706332683563","0.3930445432662964","0.36335134506225586","0.4209860861301422","0.6501315236091614","0.6485071778297424","0.6519086360931396","0.5086211562156677","0.49004167318344116","0.5229651927947998","0.5859540939331055","0.5848821401596069","0.588297426700592"
"73","0.4160913288593292","0.4042717218399048","0.4253186583518982","0.3835136890411377","0.3628803491592407","0.4259852468967438","0.6459933121999105","0.621572732925415","0.6636713743209839","0.5166067838668823","0.5069260597229004","0.522788941860199","0.5872281432151795","0.5809344053268433","0.5952609181404114"
"74","0.41573010087013246","0.4051175117492676","0.42271533608436584","0.3875696897506714","0.36808764934539795","0.40880611538887024","0.651119202375412","0.6300116777420044","0.6727959513664246","0.5112727642059326","0.4871194362640381","0.5289642810821533","0.5862185955047607","0.5825162529945374","0.5961402654647827"
"75","0.4151064038276672","0.399441659450531","0.4218982756137848","0.3934681534767151","0.3651983141899109","0.44204646348953247","0.6306456327438354","0.6156609058380127","0.641823947429657","0.5090822577476501","0.4984789192676544","0.5222568511962891","0.590479063987732","0.586100161075592","0.5974017977714539"
"76","0.4146896302700043","0.40194347500801086","0.41995614767074585","0.38388173580169677","0.3622869849205017","0.4193442761898041","0.6313744068145752","0.6205120086669922","0.6440485715866089","0.5130100727081299","0.5006832480430603","0.5232171416282654","0.5856956839561462","0.5821458101272583","0.5924137830734253"
"77","0.4154240846633911","0.40469369292259216","0.42750728130340576","0.396297824382782","0.3710460364818573","0.4266531467437744","0.6439845204353333","0.6334077715873718","0.6599300503730774","0.5211933851242065","0.5102561712265015","0.5331789255142212","0.5879651188850403","0.584199845790863","0.5930870771408081"
"78","0.4141410648822784","0.4003106653690338","0.4225150942802429","0.3876815140247345","0.370120644569397","0.40055105090141296","0.6356735974550247","0.6268936991691589","0.6487278938293457","0.5170710444450378","0.5127354264259338","0.522460401058197","0.5930907726287842","0.5860760807991028","0.5977576375007629"
"79","0.4169865071773529","0.4041685163974762","0.4270235002040863","0.39423450231552126","0.3630063831806183","0.43005046248435974","0.6497960289319357","0.6385051608085632","0.6628923416137695","0.5139081239700317","0.5088626742362976","0.5234532356262207","0.5923601865768433","0.5852469205856323","0.5972887873649597"
"80","0.41551375985145567","0.4046516716480255","0.42588183283805847","0.37908520698547366","0.3384460210800171","0.4017094075679779","0.6356293708086014","0.6117416024208069","0.6599862575531006","0.517269778251648","0.505499005317688","0.5229519009590149","0.588620388507843","0.5834334492683411","0.5974712371826172"
"81","0.4146785855293274","0.4012414216995239","0.4250542223453522","0.3924818098545074","0.37066543102264404","0.4137628376483917","0.6389323472976685","0.6343350410461426","0.644195556640625","0.528549587726593","0.5269129276275635","0.5302472114562988","0.5962961077690124","0.5914232134819031","0.6027668118476868"
"82","0.4144908845424652","0.4013296365737915","0.42457130551338196","0.3974016487598419","0.37931033968925476","0.4295262098312378","0.638394221663475","0.6283669471740723","0.6426993012428284","0.5303600788116455","0.5273984670639038","0.5347009897232056","0.5940481066703797","0.5903257727622986","0.5978720784187317"
"83","0.4143670618534088","0.40097421407699585","0.42452216148376465","0.3955191671848297","0.3793741464614868","0.41815921664237976","0.6324244141578674","0.6257569193840027","0.6390919089317322","0.5333977580070496","0.5301496386528015","0.5361591577529907","0.5942283511161804","0.5916007161140442","0.6029262542724609"
"84","0.4144085764884949","0.40115249156951904","0.4244729280471802","0.4000793695449829","0.3833662271499634","0.4315702021121979","0.6308420300483704","0.6274213790893555","0.6361434459686279","0.531940221786499","0.530289888381958","0.5364701747894287","0.5965986609458923","0.5915530323982239","0.603724479675293"
"85","0.41444750428199767","0.401174396276474","0.42478835582733154","0.3946555495262146","0.38088124990463257","0.4088013768196106","0.6402318626642227","0.6314020752906799","0.6461211442947388","0.533138120174408","0.5279196500778198","0.5361998677253723","0.5947373390197754","0.5902992486953735","0.6035904288291931"
"86","0.414317387342453","0.40155038237571716","0.4238705337047577","0.39720500111579893","0.37666308879852295","0.4398500621318817","0.6377439945936203","0.634897768497467","0.6452282071113586","0.5315962314605713","0.5264865159988403","0.5370134711265564","0.5957728266716004","0.5906423330307007","0.6042113304138184"
"87","0.41447322964668276","0.40130704641342163","0.42473936080932617","0.3942920506000519","0.3808983862400055","0.40208110213279724","0.6381285488605499","0.6300787925720215","0.6412490010261536","0.5330805063247681","0.5294910669326782","0.5402073860168457","0.5962021112442016","0.5925117135047913","0.603649914264679"
"88","0.4141892969608307","0.40128517150878906","0.4236164093017578","0.40167124271392823","0.3849577307701111","0.4335225820541382","0.6355170160531998","0.6323240399360657","0.6431422233581543","0.5344258189201355","0.5309833884239197","0.5385943651199341","0.5972726345062256","0.5917360782623291","0.6047270894050598"
"89","0.41445515751838685","0.4011305570602417","0.4243049621582031","0.39190064668655394","0.377701073884964","0.41075077652931213","0.6408650279045105","0.630481481552124","0.646792471408844","0.5311322331428527","0.5265036225318909","0.5343994498252869","0.6001789450645447","0.5937761664390564","0.6052128076553345"
"90","0.4143769383430481","0.40117502212524414","0.42453548312187195","0.3980784177780151","0.38163474202156067","0.4300549030303955","0.6332766016324362","0.6246137022972107","0.6397938132286072","0.5326920986175537","0.5276843905448914","0.5440493226051331","0.5973687887191772","0.5932761430740356","0.6031838655471802"
"91","0.4127835392951965","0.4014630913734436","0.4161023199558258","0.39675743579864503","0.3804815113544464","0.4125617444515228","0.6337790687878927","0.6229713559150696","0.6490522623062134","0.5351480484008789","0.531566321849823","0.5384482741355896","0.5962358593940735","0.593725860118866","0.599023163318634"
"92","0.41246293783187865","0.40135225653648376","0.4162725806236267","0.395771849155426","0.381317675113678","0.42771947383880615","0.6298692226409912","0.617494523525238","0.6359937191009521","0.5328315258026123","0.5256333351135254","0.5384747385978699","0.5973097920417786","0.5934426188468933","0.6049306392669678"
"93","0.4118666410446167","0.4013063311576843","0.41580644249916077","0.4011872112751007","0.3892882168292999","0.41261357069015503","0.6338359713554382","0.6220896244049072","0.6428276300430298","0.5342889547348022","0.5269649624824524","0.5399560928344727","0.5962741851806641","0.5936528444290161","0.5993496775627136"
"94","0.41201404929161073","0.40093085169792175","0.4160662293434143","0.39410953521728515","0.36901840567588806","0.42824602127075195","0.6349331736564636","0.6238077878952026","0.6412910223007202","0.5314602136611939","0.5289007425308228","0.535137951374054","0.597757363319397","0.5943282842636108","0.6051701903343201"
"95","0.41350647807121277","0.40084248781204224","0.41968679428100586","0.39898486733436583","0.38445016741752625","0.4132075607776642","0.6375894844532013","0.6294578313827515","0.6463338136672974","0.5339075684547424","0.5276299715042114","0.5381728410720825","0.5972340345382691","0.5937483310699463","0.6051936149597168"
"96","0.41209846138954165","0.40104225277900696","0.41631731390953064","0.3937635064125061","0.3726047873497009","0.42829805612564087","0.6351327747106552","0.6292028427124023","0.6397066712379456","0.5312910914421082","0.5252507925033569","0.5402595400810242","0.5966077208518982","0.593511164188385","0.5999524593353271"
"97","0.4127374589443207","0.40121883153915405","0.41644173860549927","0.39988681077957156","0.38271257281303406","0.41761747002601624","0.6308089047670364","0.6235141754150391","0.6423468589782715","0.5335664391517639","0.5296850204467773","0.5388320684432983","0.5988672614097595","0.594520092010498","0.6059876680374146"
"98","0.4120681703090668","0.4010855257511139","0.4164784252643585","0.39721572399139404","0.38472986221313477","0.42891451716423035","0.6326088160276413","0.6243765950202942","0.6410970091819763","0.534509539604187","0.5274160504341125","0.5420954823493958","0.5995591402053833","0.5944308638572693","0.6056550741195679"
"99","0.4128031015396118","0.40146228671073914","0.4164336323738098","0.3997436106204987","0.3836376965045929","0.41330671310424805","0.6328719854354858","0.6230983734130859","0.6399955749511719","0.5344910740852356","0.5299562215805054","0.5410104393959045","0.5977450966835022","0.5928781628608704","0.6055384874343872"