"Step","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (OpenMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (FixMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (CaliMatch) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (SafeStudent) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (MTC) - Unseen-class ratio over conf 0.95","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (MTC) - Unseen-class ratio over conf 0.95__MAX","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MIN","Grouped runs (IOMatch) - Unseen-class ratio over conf 0.95__MAX"
"0","0.6101541519165039","0.6101541519165039","0.6101541519165039","0.5650777816772461","0.5","0.6003684401512146","","","","0.6654878854751587","0.5690555572509766","1","0.44834790130456287","0.2142857164144516","0.5939933061599731","","",""
"1","0.20746931731700896","0.15763546526432037","0.24623656272888184","0.21613334417343139","0.16727273166179657","0.3297872245311737","","","","0.26180862784385683","0.1695999950170517","0.38641974329948425","0.2543270766735077","0.21834060549736023","0.30388692021369934","0.2234259605407715","0.19004525244235992","0.2604166567325592"
"2","0.4089846134185791","0.37384286522865295","0.42867982387542725","0.4197118580341339","0.3669535219669342","0.4507015645503998","0","0","0","0.3979866623878479","0.3699851334095001","0.4268142580986023","0.4097578823566437","0.40222156047821045","0.42230987548828125","0.3664035379886627","0.3425391614437103","0.3830227851867676"
"3","0.5004655957221985","0.4824618101119995","0.5169596076011658","0.4917726397514343","0.48151570558547974","0.4992097318172455","0.05953609868884087","0.04181184619665146","0.07523510605096817","0.5091330885887146","0.4961261749267578","0.517837405204773","0.5070506274700165","0.49987533688545227","0.5128985047340393","0.4793619394302368","0.45110148191452026","0.49631771445274353"
"4","0.5186001181602478","0.5089449882507324","0.5354010462760925","0.5160391807556153","0.5016177892684937","0.5246778130531311","0.1476798638701439","0.11129296571016312","0.1903584599494934","0.5209251880645752","0.5108532309532166","0.5253333449363708","0.5297672033309937","0.5222686529159546","0.539462149143219","0.4968331098556519","0.4727272689342499","0.5170566439628601"
"5","0.480390727519989","0.47138291597366333","0.4904729723930359","0.519061005115509","0.5045969486236572","0.5357486009597778","0.12721768021583557","0.0625","0.1766233742237091","0.5256716132164001","0.5139750242233276","0.5353150367736816","0.5391310691833496","0.5272403359413147","0.5485658645629883","0.5104004919528962","0.4887523353099823","0.523313581943512"
"6","0.4694519519805908","0.4573991000652313","0.48861804604530334","0.5196013808250427","0.5016847252845764","0.5354762077331543","0.21645784974098206","0.13085399568080902","0.3125","0.5276204466819763","0.5120527744293213","0.5409955978393555","0.5386207103729248","0.5312872529029846","0.5439715385437012","0.5098684072494507","0.49755579233169556","0.5258040428161621"
"7","0.4819152891635895","0.4743318259716034","0.487896203994751","0.5223974704742431","0.5070608258247375","0.5361464023590088","0.19961303770542144","0.1487603336572647","0.2931995391845703","0.5334976553916931","0.5268590450286865","0.5416190028190613","0.5436630010604858","0.5272234678268433","0.5579555034637451","0.5002050220966339","0.4800291359424591","0.5207313895225525"
"8","0.4809523820877075","0.46786317229270935","0.4934680461883545","0.5227607011795044","0.5151939988136292","0.5294073820114136","0.19343684613704681","0.15962441265583038","0.21708184480667114","0.53443843126297","0.5129881501197815","0.5498549938201904","0.5469257950782775","0.5405851602554321","0.5521520972251892","0.5058685958385467","0.48120930790901184","0.5216326713562012"
"9","0.48371322751045226","0.46925994753837585","0.5049551129341125","0.5187159895896911","0.5085071325302124","0.5358725190162659","0.22516082227230072","0.19284939765930176","0.27236315608024597","0.5367050290107727","0.52638179063797","0.5501816272735596","0.5520317077636718","0.5466030836105347","0.56112140417099","0.5063382506370544","0.47612959146499634","0.5164451003074646"
"10","0.47833685874938964","0.4616713523864746","0.4990435242652893","0.5209481120109558","0.5100545287132263","0.5330386161804199","0.220351842045784","0.18482251465320587","0.24826790392398834","0.5336209297180176","0.5244646072387695","0.5413762927055359","0.5498842120170593","0.5441799163818359","0.5578190684318542","0.5022575497627259","0.4901777505874634","0.5124551653862"
"11","0.4778374433517456","0.4666036367416382","0.4868273138999939","0.524421215057373","0.5150235295295715","0.5428657531738281","0.2408926635980606","0.21839886903762817","0.2739656865596771","0.5498615264892578","0.5427023768424988","0.5566474199295044","0.16296706795692445","0.1315789520740509","0.20032310485839844","0.5031826794147491","0.49301326274871826","0.5123302340507507"
"12","0.4856812536716461","0.4745829701423645","0.49519267678260803","0.5110697209835052","0.4971407949924469","0.5233306288719177","0.23644921481609343","0.22428420186042786","0.2495429664850235","0.5374647617340088","0.5338383913040161","0.5449180006980896","0.21422145664691924","0.16599999368190765","0.267412930727005","0.5054575145244599","0.4959699213504791","0.5165786743164062"
"13","0.48612743616104126","0.47132086753845215","0.499186635017395","0.5216871857643127","0.5123441219329834","0.5299049615859985","0.24730753302574157","0.19222304224967957","0.3094339668750763","0.5390249371528626","0.528610348701477","0.5481197237968445","0.2110952168703079","0.18195489048957825","0.23013244569301605","0.5032474875450135","0.4819027781486511","0.5133997797966003"
"14","0.48626835346221925","0.47794467210769653","0.49586838483810425","0.5230323672294617","0.5139220356941223","0.5312551259994507","0.27504608035087585","0.2346990406513214","0.33955225348472595","0.5406570434570312","0.5278149843215942","0.5498149991035461","0.248884180188179","0.21657250821590424","0.2931654751300812","0.5088089942932129","0.49054282903671265","0.5193862318992615"
"15","0.4871411919593811","0.47131210565567017","0.5036270618438721","0.5196795582771301","0.5030280947685242","0.5273482799530029","0.26064738929271697","0.24719999730587006","0.2717756927013397","0.5467646241188049","0.5380942821502686","0.5515514016151428","0.24631204307079316","0.22455404698848724","0.28825995326042175","0.5090110242366791","0.4969017803668976","0.5174275040626526"
"16","0.4876635670661926","0.47470757365226746","0.5008639097213745","0.5212935924530029","0.5066297650337219","0.5304857492446899","0.2766203165054321","0.25796979665756226","0.2922050952911377","0.5377609491348266","0.5235037803649902","0.5491529703140259","0.28962771594524384","0.21003134548664093","0.35419273376464844","0.5046014964580536","0.4940313994884491","0.5180526971817017"
"17","0.490356320142746","0.4825020432472229","0.5008007287979126","0.5141804099082947","0.5072041153907776","0.5226412415504456","0.287141889333725","0.2631217837333679","0.3164868950843811","0.5445667624473571","0.5399592518806458","0.5505777597427368","0.3050274968147278","0.24261602759361267","0.36938032507896423","0.5178142786026001","0.5122668743133545","0.5273449420928955"
"18","0.4896318316459656","0.48343586921691895","0.5029177069664001","0.5081850826740265","0.4906832277774811","0.5285929441452026","0.2833630383014679","0.2529344856739044","0.3040233552455902","0.5484155893325806","0.5372801423072815","0.55987149477005","0.30087292194366455","0.26892951130867004","0.32373473048210144","0.5127354264259338","0.5053793787956238","0.5220463871955872"
"19","0.49357481598854064","0.48680049180984497","0.5008620619773865","0.5158527374267579","0.491682231426239","0.5296333432197571","0.29749900102615356","0.26471465826034546","0.3331265449523926","0.5426377892494202","0.533686637878418","0.549575924873352","0.37257449626922606","0.316867470741272","0.4271570146083832","0.5136183023452758","0.504624605178833","0.5222747921943665"
"20","0.49475535154342654","0.47616034746170044","0.5065065026283264","0.5091612339019775","0.5004254579544067","0.5155092477798462","0.30279648303985596","0.25324419140815735","0.32201671600341797","0.5418784260749817","0.5331590175628662","0.550821840763092","0.3517422914505005","0.3115438222885132","0.38287752866744995","0.5098917126655579","0.4989076256752014","0.5178584456443787"
"21","0.4920521080493927","0.48024797439575195","0.500780463218689","0.5194553017616272","0.5149519443511963","0.5237857699394226","0.31938767433166504","0.3113897740840912","0.33979421854019165","0.40326318740844724","0.379810094833374","0.4227289855480194","0.36198310256004335","0.34388184547424316","0.38927942514419556","0.518901789188385","0.5105996131896973","0.5269397497177124"
"22","0.49499753713607786","0.49108245968818665","0.49794965982437134","0.5200927972793579","0.5065093636512756","0.5307950973510742","0.3145006477832794","0.27121520042419434","0.33759021759033203","0.42845976948738096","0.37001344561576843","0.4606911242008209","0.3892097890377045","0.36306819319725037","0.41996949911117554","0.5092331290245056","0.4945642948150635","0.5189574956893921"
"23","0.4947216808795929","0.4854826331138611","0.498639315366745","0.518572723865509","0.5082497596740723","0.5301859974861145","0.3116520881652832","0.2953382730484009","0.32100555300712585","0.4456860303878784","0.4413658082485199","0.44867992401123047","0.39704251289367676","0.3548766076564789","0.44082212448120117","0.5113186240196228","0.501098096370697","0.5199503302574158"
"24","0.502713394165039","0.49178868532180786","0.5073577165603638","0.5230665683746338","0.5168189406394958","0.5291344523429871","0.3085526943206787","0.29105323553085327","0.32133564352989197","0.45110750794410703","0.43216440081596375","0.47265076637268066","0.40829893946647644","0.358178049325943","0.4521472454071045","0.5111866593360901","0.49680614471435547","0.5247182250022888"
"25","0.49522013068199155","0.48341456055641174","0.5053160190582275","0.532258129119873","0.5220998525619507","0.5421412587165833","0.32195966839790346","0.2951052784919739","0.34198471903800964","0.4496707499027252","0.43761688470840454","0.46572673320770264","0.40227210521698","0.35978835821151733","0.4414856433868408","0.5046238780021668","0.49774956703186035","0.5089359879493713"
"26","0.498258113861084","0.48874619603157043","0.5096397995948792","0.5168975353240967","0.5045864582061768","0.5291576385498047","0.3183679521083832","0.29846805334091187","0.3392309546470642","0.45702832341194155","0.436565637588501","0.4701850712299347","0.44205589294433595","0.4102739691734314","0.4724302291870117","0.5101610481739044","0.4856618344783783","0.5229060649871826"
"27","0.5034231960773468","0.4961076080799103","0.5066715478897095","0.5241456985473633","0.516817033290863","0.533270537853241","0.3210050642490387","0.31350627541542053","0.32569414377212524","0.4708758592605591","0.4496527910232544","0.488174706697464","0.4436307311058044","0.405322402715683","0.47366321086883545","0.5143492221832275","0.4976591467857361","0.5246425271034241"
"28","0.49525373578071596","0.48821571469306946","0.501776933670044","0.5260613679885864","0.5151282548904419","0.5300866961479187","0.32172922492027284","0.2788461446762085","0.3410091996192932","0.46007063388824465","0.4434942901134491","0.47208860516548157","0.45562376379966735","0.4137931168079376","0.4876980185508728","0.5112432837486267","0.5026714205741882","0.5202987790107727"
"29","0.4980688154697418","0.4885466992855072","0.508859395980835","0.5287482142448425","0.5235835909843445","0.5327709913253784","0.3325486421585083","0.3116236925125122","0.3483146131038666","0.46505951285362246","0.45083513855934143","0.47926855087280273","0.4469097077846527","0.4079645872116089","0.5154573917388916","0.5159899115562439","0.5094828605651855","0.521200954914093"
"30","0.5018555045127868","0.4908347725868225","0.5083577036857605","0.5191413879394531","0.5090563893318176","0.5267367362976074","0.3273220956325531","0.31685444712638855","0.33861514925956726","0.45961025953292844","0.4382162094116211","0.48755577206611633","0.4547814130783081","0.4299390912055969","0.4861955940723419","0.5136050879955292","0.49787387251853943","0.5231145024299622"
"31","0.4984333038330078","0.48087579011917114","0.5162079930305481","0.525777268409729","0.504957377910614","0.5346293449401855","0.3367299556732178","0.3273472487926483","0.3452732563018799","0.4671449244022369","0.44129258394241333","0.5004926323890686","0.46638981699943544","0.4231511354446411","0.5066059231758118","0.510687381029129","0.4955175817012787","0.5222508907318115"
"32","0.4967520833015442","0.48876795172691345","0.5101087689399719","0.5295118689537048","0.5209536552429199","0.537505567073822","0.332438188791275","0.31704825162887573","0.3457774519920349","0.4735959231853485","0.44454336166381836","0.5023210048675537","0.48247588872909547","0.455747127532959","0.5141916871070862","0.5115274071693421","0.5021478533744812","0.5214165449142456"
"33","0.5061086237430572","0.4972139894962311","0.5150997638702393","0.5315883755683899","0.5245980024337769","0.5401827692985535","0.34133060574531554","0.3163619637489319","0.3635226786136627","0.46881460547447207","0.45332854986190796","0.4816901385784149","0.479401957988739","0.4631061255931854","0.5102195143699646","0.5162887454032898","0.509578287601471","0.5269742012023926"
"34","0.5025696337223053","0.49419108033180237","0.5106818675994873","0.5340167641639709","0.5228207111358643","0.5433368682861328","0.3364379584789276","0.3266865313053131","0.3512994945049286","0.47011792063713076","0.466267853975296","0.4747408628463745","0.49753392934799195","0.4697423577308655","0.5303608179092407","0.508997130393982","0.5031245350837708","0.5150550007820129"
"35","0.5028272092342376","0.4920371472835541","0.5141197443008423","0.527268898487091","0.5120788812637329","0.5419415831565857","0.3415875554084778","0.3236751854419708","0.3523000180721283","0.47523813843727114","0.4675161838531494","0.4851163327693939","0.48683410286903384","0.45193034410476685","0.5119912624359131","0.5150692939758301","0.5005111694335938","0.5246900916099548"
"36","0.5008375346660614","0.48544254899024963","0.5099965929985046","0.5330823421478271","0.5224058032035828","0.5395773649215698","0.34909177422523496","0.33609795570373535","0.36334577202796936","0.47707783579826357","0.4610864520072937","0.4943278431892395","0.4915114164352417","0.4247787594795227","0.5344644784927368","0.5185919523239135","0.5114846229553223","0.5290066599845886"
"37","0.4975676298141479","0.483692467212677","0.5054271221160889","0.5370509266853333","0.5262665152549744","0.5497153997421265","0.3456725478172302","0.32977691292762756","0.3688904047012329","0.4843283176422119","0.46830984950065613","0.49376919865608215","0.4967273950576782","0.4261603355407715","0.5373470783233643","0.5165836095809937","0.4989202618598938","0.5255325436592102"
"38","0.5029530465602875","0.4906533658504486","0.5109195113182068","0.5341064810752869","0.5270130038261414","0.5379576683044434","0.34050285816192627","0.3333951532840729","0.34609636664390564","0.48489234447479246","0.47307226061820984","0.49314942955970764","0.4970078647136688","0.4721851348876953","0.5140939354896545","0.517405652999878","0.5042179226875305","0.5298117995262146"
"39","0.5034924447536469","0.49316561222076416","0.5153989791870117","0.537490713596344","0.5337058901786804","0.5403257608413696","0.3441768527030945","0.3371438980102539","0.3492863178253174","0.4774228870868683","0.45620524883270264","0.4941411316394806","0.49070348739624026","0.4312748908996582","0.5341545343399048","0.5245105743408203","0.5206995606422424","0.5329845547676086"
"40","0.4983247995376587","0.4858260750770569","0.5089374780654907","0.5382511258125305","0.5355376601219177","0.5436545014381409","0.35069788098335264","0.3436224162578583","0.364978551864624","0.48871665000915526","0.4737151265144348","0.4960675537586212","0.5012341678142548","0.46416574716567993","0.525516152381897","0.5189957976341247","0.5122442245483398","0.5267119407653809"
"41","0.5021668016910553","0.49606794118881226","0.5145625472068787","0.5362528562545776","0.5254710912704468","0.5436862111091614","0.35492045283317564","0.3448392450809479","0.36985597014427185","0.49024069905281065","0.47208794951438904","0.5041371583938599","0.5065002202987671","0.4921658933162689","0.5210577845573425","0.5195609331130981","0.5084963440895081","0.5332180261611938"
"42","0.5039892494678497","0.4879651367664337","0.5150270462036133","0.5387039303779602","0.5366441607475281","0.5410709381103516","0.35083524584770204","0.3431759774684906","0.3561984896659851","0.4938569664955139","0.49009233713150024","0.5008542537689209","0.5200944662094116","0.5031390190124512","0.532900333404541","0.5226836919784545","0.5197056531906128","0.5266295671463013"
"43","0.5008084297180175","0.4885938763618469","0.5107746124267578","0.5382360458374024","0.5295125246047974","0.5493871569633484","0.3515797555446625","0.34113410115242004","0.35975900292396545","0.47875959277153013","0.47230783104896545","0.4842469096183777","0.5020173728466034","0.47662439942359924","0.5414977073669434","0.5217827916145324","0.5149263143539429","0.5267381072044373"
"44","0.5062180638313294","0.497458815574646","0.5142965912818909","0.5421947479248047","0.5306248664855957","0.5489280223846436","0.3547105729579926","0.34271010756492615","0.36811545491218567","0.49114850759506223","0.4699830412864685","0.5038254261016846","0.5139448881149292","0.4550185799598694","0.5453903079032898","0.5245299935340881","0.5179567933082581","0.5288888812065125"
"45","0.5057135343551635","0.4975240230560303","0.5119367837905884","0.5409205555915833","0.5345130562782288","0.5459587574005127","0.35445609092712405","0.34776192903518677","0.36461514234542847","0.4799379169940948","0.4356197416782379","0.49672508239746094","0.5259685695171357","0.49572649598121643","0.5624814629554749","0.5236397743225097","0.52150958776474","0.5270475745201111"
"46","0.5026155650615692","0.4919069707393646","0.5104394555091858","0.5420906662940979","0.5389740467071533","0.5480391383171082","0.35606510639190675","0.34717217087745667","0.364553302526474","0.49279037714004514","0.4730753004550934","0.5072062611579895","0.5198237776756287","0.5001451969146729","0.5488029718399048","0.5231135368347168","0.5187672972679138","0.5250790119171143"
"47","0.5056790947914124","0.4926897883415222","0.5137830376625061","0.5424229025840759","0.5369786024093628","0.5491505861282349","0.3510646641254425","0.3322443664073944","0.36066094040870667","0.4895847260951996","0.47185713052749634","0.5020888447761536","0.5089688241481781","0.4820398986339569","0.5278170108795166","0.526413094997406","0.522067129611969","0.5359962582588196"
